"ID","Categorie","Produit","Prix","Image","Stock","Couleur","Type","Description","Matiere Principale"
"1","Homme","Nike Air Force 1","79.99","img/produit1.jpg","10","Blanc","Lifestyle","La Nike Air Force 1 est une chaussure emblématique qui allie style et confort. Parfaite pour toutes les occasions.","Cuir"
"2","Homme","Nike Air Max Dn","159.99","img/chaussure2.jpg","10","Noir","Lifestyle","La Nike Air Max Dn est une chaussure de sport polyvalente avec un design moderne et une technologie d'amorti exceptionnelle.","Synthétique"
"3","Homme","Nike Tuned 1 Utility","129.99","img/chaussure3.jpg","10","Noir","Lifestyle","La Nike Tuned 1 Utility est une chaussure robuste et résistante, idéale pour les aventures urbaines.","Textile"
"4","Homme","New Balance 9060","119.99","img/chaussure4.jpg","10","Gris","Running","La New Balance 9060 est une chaussure de course légère et réactive, offrant un excellent soutien et un bon amorti.","Synthétique"
"5","Homme","adidas Ozelia","89.99","img/chaussure5.jpg","10","Noir","Lifestyle","L'adidas Ozelia est une chaussure élégante et confortable, parfaite pour compléter votre look décontracté.","Textile"
"6","Homme","Asics GEL-NYC","99.99","img/chaussure6.jpg","10","Beige","Running","L'Asics GEL-NYC est une chaussure de course polyvalente avec un amorti exceptionnel et une adhérence optimale.","Synthétique"
"7","Homme","Timberland Motion 6","114.99","img/chaussure7.jpg","10","Jaune","Lifestyle","La Timberland Motion 6 est une chaussure résistante et durable, parfaite pour les activités de plein air.","Cuir"
"8","Homme","Jordan Post Slide","34.99","img/chaussure8.jpg","10","Rouge","Lifestyle","Les Jordan Post Slide sont des sandales légères et confortables, idéales pour se détendre après l'effort.","Synthétique"
"9","Femme","Nike Air Max 97","129.99","img/chaussure1f.jpg","10","Gris","Lifestyle","La Nike Air Max 97 est une chaussure emblématique avec un design futuriste.","Textile"
"10","Femme","adidas Superstar XLG","79.99","img/chaussure2f.jpg","10","Blanc","Lifestyle","Les adidas Superstar XLG sont des chaussures classiques et intemporelles, parfaites pour compléter votre style urbain.","Cuir"
"11","Femme","Nike 1 Mid","104.99","img/chaussure3f.jpg","10","Violet","Lifestyle","Les Nike 1 Mid sont des chaussures polyvalentes avec un design élégant et un confort exceptionnel pour une utilisation quotidienne.","Textile"
"12","Femme","New Balance 997","109.99","img/chaussure4f.jpg","10","Gris","Running","Les New Balance 997 sont des chaussures de course légères et réactives, offrant un excellent soutien et une grande durabilité.","Synthétique"
"13","Femme","Lacoste T-clip","84.99","img/chaussure5f.jpg","10","Blanc","Lifestyle","Les Lacoste T-clip sont des chaussures élégantes et confortables, parfaites pour un look décontracté et chic.","Cuir"
"14","Femme","Timberland Adley Way","69.99","img/chaussure6f.jpg","10","Jaune","Lifestyle","Les Timberland Adley Way sont des chaussures polyvalentes et durables, idéales pour les aventures en plein air.","Cuir"
"15","Femme","New Balance 530","99.99","img/chaussure7f.jpg","10","Blanc","Lifestyle","Les New Balance 530 sont des chaussures légères et confortables, parfaites pour une utilisation quotidienne et une activité sportive modérée.","Synthétique"
"16","Femme","Crocs Classic Clog","29.99","img/chaussure8f.jpg","10","Rose","Lifestyle","Les Crocs Classic Clog sont des sabots légers et confortables, parfaits pour se détendre à la maison ou pour une promenade décontractée.","Synthétique"
"17","Enfant","Asics JAPAN S","54.99","img/chaussure1e.jpg","10","Blanc","Lifestyle","Les Asics JAPAN S sont des chaussures de sport polyvalentes pour enfants, offrant un bon soutien et un confort optimal.","Textile"
"18","Enfant","Converse 70 High","79.99","img/chaussure2e.jpg","10","Blanc","Lifestyle","Les Converse 70 High sont des chaussures classiques et intemporelles pour enfants, parfaites pour compléter leur style décontracté.","Textile"
"19","Enfant","Nike Victori One Slide","29.99","img/chaussure3e.jpg","10","Noir","Lifestyle","Les Nike Victori One Slide sont des sandales légères et confortables pour enfants, idéales pour se détendre après l'effort.","Synthétique"
"20","Enfant","Nike Air Force 1 Low","69.99","img/chaussure4e.jpg","10","Jaune","Lifestyle","Les Nike Air Force 1 Low sont des chaussures emblématiques pour enfants, offrant style et confort pour toutes les occasions.","Cuir"
"21","Enfant","Jordan 1 Low","89.99","img/chaussure5e.jpg","10","Jaune","Lifestyle","Les Jordan 1 Low sont des chaussures polyvalentes pour enfants avec un design moderne et un confort exceptionnel.","Synthétique"
"22","Enfant","Lacoste Carnaby","49.99","img/chaussure6e.jpg","10","Blanc","Running","Les Lacoste Carnaby sont des chaussures de course légères et respirantes pour enfants, offrant un excellent soutien et une grande durabilité.","Textile"
"23","Enfant","Lacoste Twin Serve","59.99","img/chaussure7e.jpg","10","Gris","Running","Les Lacoste Twin Serve sont des chaussures de course polyvalentes pour enfants, offrant un bon amorti et une adhérence optimale.","Synthétique"
"24","Enfant","Jordan Aj11 Low","45.99","img/chaussure8e.jpg","10","Gris","Running","Les Jordan Aj11 Low sont des chaussures de course légères et réactives pour enfants, offrant un excellent soutien et une grande durabilité.","Synthétique"
